BreedName;Group1;Group2;Price;Weight(Kg);Watchdog;Popularity;Temperament
Affenpinscher;Toy;Companion;1000;4;1;147;Active, Adventurous, Curious, Fun-loving, Playful, Stubborn
Afghan Hound;Sporting;Sight;2250;28;1;93;Aloof, Clownish, Dignified, Happy, Independent
African Hunting Dog;;;;23;;;Wild
Airedale Terrier;Terrier;Terrier;700;26;4;55;Alert, Confident, Courageous, Friendly, Intelligent, Outgoing
Akbash;Working;Guardian;600;53;5;;Affectionate, Alert, Courageous, Independent, Intelligent, Loyal
Akita;Working;Herding;1000;44;5;47;Alert, Courageous, Dignified, Docile, Friendly, Intelligent, Responsive
Alaskan Malamute;Working;Northern;1350;40;5;59;Affectionate, Devoted, Dignified, Friendly, Loyal, Playful
American Bulldog;Working;Guardian;800;38;6;;Affectionate, Alert, Courageous, Energetic, Gentle, Loving, Out-going, Social
American Eskimo Dog;Non Sporting;Northern;700;8;4;118;Alert, Energetic, Friendly, Independent, Intelligent, Protective
American Hairless Terrier;Terrier;Terrier;400;5;3;126;Alert, Lively, Loving, Intelligent, Inquisitive, Playful
American Staffordshire Terrier;Terrier;Terrier;900;28;3;83;Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent
American Water Spaniel;Sporting;Gun;900;16;4;167;Energetic, Friendly, Intelligent, Obedient, Protective, Trainable
Anatolian Shepherd;Working;Guardian;800;52;6;86;Bold, Confident, Independent, Intelligent, Proud, Steady
Appenzell Mountain Dog;Working;Guardian;700;27;5;;Energetic, Fearless, Lively, Reliable, Self-assured, Social
Australian Cattle Dog/Blue Heeler;Herding;Herding;600;21;6;56;Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive
Australian Kelpie;Working;Herding;600;16;5;;Alert, Eager, Energetic, Friendly, Intelligent, Loyal, Robust
Australian Shepherd;Terrier;Terrier;700;27;5;17;Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving
Australian Terrier;Terrier;Terrier;1250;5;3;137;Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent
Basenji;Hound;Sight;1100;11;5;84;Affectionate, Alert, Curious, Energetic, Playful, Intelligent
Basset Hound;Hound;Scenthound;400;26;1;39;Affectionate, Devoted, Friendly, Gentle, Sweet-tempered, Tenacious
Beagle;Hound;Scenthound;650;11;1;6;Friendly, Gentle, Independent, Intelligent, Lively, Loving, Sweet
Bearded Collie;Herding;Herding;1300;23;4;125;Active, Alert, Hardy, Intelligent, Lively, Self-confident
Beauceron;Herding;Herding;1350;50;5;141;Courageous, Obedient, Loyal, Protective, Loving
Bedlington Terrier;Terrier;Terrier;1900;9;3;151;Affectionate, Devoted, Energetic, Loyal, Playful, Reliable, Intelligent
