BreedName;Trait
Affenpinscher;Active
Affenpinscher;Adventurous
Affenpinscher;Curious
Affenpinscher;Fun-loving
Affenpinscher;Playful
Affenpinscher;Stubborn
Afghan Hound;Aloof
Afghan Hound;Clownish
Afghan Hound;Dignified
Afghan Hound;Happy
Afghan Hound;Independent
African Hunting Dog;Wild
Airedale Terrier;Alert
Airedale Terrier;Confident
Airedale Terrier;Courageous
Airedale Terrier;Friendly
Airedale Terrier;Intelligent
Airedale Terrier;Outgoing
Akbash;Affectionate
Akbash;Alert
Akbash;Courageous
Akbash;Independent
Akbash;Intelligent
Akbash;Loyal
Akita;Alert
Akita;Courageous
Akita;Dignified
Akita;Docile
Akita;Friendly
Akita;Intelligent
Akita;Responsive
Alaskan Malamute;Affectionate
Alaskan Malamute;Devoted
Alaskan Malamute;Dignified
Alaskan Malamute;Friendly
Alaskan Malamute;Loyal
Alaskan Malamute;Playful
American Bulldog;Affectionate
American Bulldog;Alert
American Bulldog;Courageous
American Bulldog;Energetic
American Bulldog;Gentle
American Bulldog;Loving
American Bulldog;Out-going
American Bulldog;Social
American Eskimo Dog;Alert
American Eskimo Dog;Energetic
American Eskimo Dog;Friendly
American Eskimo Dog;Independent
American Eskimo Dog;Intelligent
American Eskimo Dog;Protective
American Hairless Terrier;Alert
American Hairless Terrier;Lively
American Hairless Terrier;Loving
American Hairless Terrier;Intelligent
American Hairless Terrier;Inquisitive
American Hairless Terrier;Playful
American Staffordshire Terrier;Attentive
American Staffordshire Terrier;Courageous
American Staffordshire Terrier;Devoted
American Staffordshire Terrier;Friendly
American Staffordshire Terrier;Loyal
American Staffordshire Terrier;Tenacious
American Staffordshire Terrier;Intelligent
American Water Spaniel;Energetic
American Water Spaniel;Friendly
American Water Spaniel;Intelligent
American Water Spaniel;Obedient
American Water Spaniel;Protective
American Water Spaniel;Trainable
Anatolian Shepherd;Bold
Anatolian Shepherd;Confident
Anatolian Shepherd;Independent
Anatolian Shepherd;Intelligent
Anatolian Shepherd;Proud
Anatolian Shepherd;Steady
Appenzell Mountain Dog;Energetic
Appenzell Mountain Dog;Fearless
Appenzell Mountain Dog;Lively
Appenzell Mountain Dog;Reliable
Appenzell Mountain Dog;Self-assured
Appenzell Mountain Dog;Social
Australian Cattle Dog/Blue Heeler;Aggressive
Australian Cattle Dog/Blue Heeler;Alert
Australian Cattle Dog/Blue Heeler;Energetic
Australian Cattle Dog/Blue Heeler;Intelligent
Australian Cattle Dog/Blue Heeler;Loyal
Australian Cattle Dog/Blue Heeler;Protective
